Skeleton ID,Skeleton Comment,Node ID,X,Y,Z,Radius,Node Comment
,,8395,11624,6381,442,3.1104,.
,,8396,11642,6370,384,2.592,.
,,8397,11644,6353,284,3.1104,.
,,8398,11554,6198,516,8.9161,.
,,8399,11538,6128,526,2.98598,.
,,8400,11527,6047,535,3.73248,.
,,8401,11501,5983,535,2.98598,.
,,8402,11499,5964,554,2.592,.
,,8403,11497,5913,555,3.73248,.
,,8404,11468,5828,550,3.1104,.
,,8405,11470,5745,516,3.73248,.
,,8406,11461,5688,477,3.17017,.
,,8407,11424,5619,454,2.98598,.
,,8408,11392,5475,427,2.86654,.
,,8409,11368,5337,362,2.48832,.
,,8410,11331,5186,291,2.592,.
,,8411,11310,5147,273,2.29324,.
,,8412,11299,5066,247,3.1104,.
,,8413,11270,4990,247,3.1104,.
,,8414,11702,6404,583,13.3741,.
,,8415,11787,6487,619,14.1991,.
,,8416,11857,6513,624,2.16,.
,,8417,11893,6511,619,3.1104,.
,,8418,11914,6520,627,3.73248,.
,,8419,12000,6605,654,3.1104,.
,,8420,12094,6653,636,6.19174,.
,,8421,12153,6696,658,4.47898,.
,,8422,12176,6683,678,3.1104,.
,,8423,12244,6705,714,3.73248,.
,,8424,12288,6732,729,3.1104,.
